conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword
2056168126165979138,Mon May 18 16:18:53 +0000 2026,2,@TradingDiary2 @embersobat Itu mah bukan hilirisasi bikin produk 1/8 mateng aja. Gw kira nikel keluar jadi baterai ev yg di expor atau jadi ev sekalian.,2056409198418940280,,TradingDiary2,in,,0,0,0,https://x.com/undefined/status/2056409198418940280,2834661709,,Baterai EV
2056298750994214991,Mon May 18 09:00:01 +0000 2026,4,Permintaan global untuk kendaraan listrik (EV) meningkat untuk bulan kedua berturut-turut pada April 2026. Menurut perusahaan konsultan Benchmark Mineral Intelligence (BMI) harga bahan bakar minyak (BBM) yang tinggi mengalihkan pembeli. Dilansir dari Investing pada Minggu https://t.co/Dl0uC1Yo0S,2056298750994214991,https://pbs.twimg.com/media/HIlBs35acAA1tEZ.jpg,,in,,0,0,0,https://x.com/undefined/status/2056298750994214991,4755284968,,Baterai EV
2056278730587492713,Mon May 18 08:28:31 +0000 2026,1,@SmwGwOto Udh ada bengkel spesialis nya ini baterai EV. Kayanya kedepannya bakalan gampang buat perbaikan ,2056290824619790538,,SmwGwOto,in,,0,0,0,https://x.com/undefined/status/2056290824619790538,43333910,,Baterai EV
2055933151818752306,Sun May 17 09:41:56 +0000 2026,2,@SmwGwOto 1. Untuk ev dari china produknya msh banyak yg bermasalah. 2. Harga baterai bisa 50-70% dari harga mobil. 3. Masih banyak produsen yg 'bingung' untuk handle complain dari pelanggan khususnya produsen dari china. 4. Sparepart masih simpang siur. 5. Purna jual terjun bebas.,2055946913367941142,,SmwGwOto,in,,0,0,0,https://x.com/undefined/status/2055946913367941142,1145217732658388992,,Baterai EV
2055865316689969580,Sun May 17 04:17:42 +0000 2026,16,Long weekend ini perdana jalan jauh ke luar kota naik EV ini pengalaman gue: 1. Ga bisa ngebut supaya hemat baterai. Avg gue cuma di 90km/jam biar dapet &gt;7km/kwh 2. Pakai trip planner buat nentuin ngecharge dimana tapi perlu bikin plan A dan plan B. Sempet dapet cuma https://t.co/Kg37GyMzqU,2055865316689969580,https://pbs.twimg.com/media/HIfmiSybAAAQXOg.jpg,,in,,0,4,3,https://x.com/undefined/status/2055865316689969580,76652780,,Baterai EV
2055853424772870494,Sun May 17 03:30:27 +0000 2026,1,Chery eQ1 mengeluarkan asap tebal dari bagian bawah mobil tanda-tanda baterai terbakar secara spontan. #chery #mobillistrik #EV https://t.co/IjhgeoQmrW,2055853424772870494,https://pbs.twimg.com/ext_tw_video_thumb/2055853324298280960/pu/img/y-OuubaCG53A3k_a.jpg,,in,,0,0,0,https://x.com/undefined/status/2055853424772870494,829629520256913408,,Baterai EV
2055290042902524194,Fri May 15 14:11:46 +0000 2026,10,Bulan ini ngeluarin buat mobil cukup banyak Pajak 2 9 juta Service Paket Hemat 3 1 juta (2x datang) Aki Brake 2 5 juta Dah 8 5 juta Mau pny EV satu nunggu 2028 kali ya udah pada mature 5 tahunan EV ngeliat kualitas baterai dan after sales produk2 ev china.. https://t.co/4cKjjuNLIt,2055290042902524194,https://pbs.twimg.com/media/HIXbZf3a4AEmdnR.jpg,,in,,1,1,0,https://x.com/undefined/status/2055290042902524194,916546058238361607,,Baterai EV
2055259718172762290,Fri May 15 12:11:16 +0000 2026,0,Parkir di Bawah Terik Matahari Mempercepat Degradasi Baterai EV ~NA Klik untuk baca: https://t.co/TFexVniL6i,2055259718172762290,,,in,,0,0,0,https://x.com/undefined/status/2055259718172762290,23343960,,Baterai EV
2055153493753655485,Fri May 15 05:09:10 +0000 2026,9,12 MOBIL LISTRIK TERLARIS INDONESIA APRIL 2026 11 BRAND CHINA 1 BRAND VIETNAM. BRAND INDO KEMANA? No. 1 JAECOO J5 EV Terjual: 3.179 unit Harga: Rp279 9 juta (Standard) Rp309 9 juta (Premium) Asal Negara: China (sub-brand dari Chery Group) Pabrik di Indonesia: Ada. https://t.co/RagR6AXjJB,2055153493753655485,https://pbs.twimg.com/media/HIVfNU9agAA-fuI.jpg,,in,,0,0,4,https://x.com/undefined/status/2055153493753655485,1031420690505785349,,Baterai EV
2055076553135104241,Fri May 15 00:03:26 +0000 2026,2,guys kalo nonton ini baterai ev sdh bisa diservis per cell tidak harus gelondongan beli wuling air ev sekon jai worthed bgt. krn sekonnya sgt murah. jangan aja stlh bengkel ini viral air ev sekon jadi mahal. https://t.co/YgyQVS3qXI,2055076553135104241,,,in,,0,1,0,https://x.com/undefined/status/2055076553135104241,1210505846553079808,,Baterai EV
